timestamp,elapsed_time,x,y,z,velocity,is_static,anchor_count,a1_measured,a1_filtered,a1_corrected,a2_measured,a2_filtered,a2_corrected,a3_measured,a3_filtered,a3_corrected,a4_measured,a4_filtered,a4_corrected,a5_measured,a5_filtered,a5_corrected
2025-11-08 13:36:04.911,2.415,1.397117,-0.141930,0.277243,0.000000,1,5,0.603613,1.331256,1.331256,2.721710,2.555950,2.555950,4.537805,4.310599,4.310599,4.515672,4.239619,4.239619,1.800774,1.992856,1.992856
2025-11-08 13:36:04.942,2.445,1.479468,-0.213454,0.519922,0.000000,1,5,0.603613,1.331256,1.331256,2.230547,2.265828,2.251336,4.537805,4.310599,4.310599,4.515672,4.239619,4.239619,1.800774,1.992856,1.992856
2025-11-08 13:36:04.998,2.502,1.369667,-0.144013,0.766137,0.059868,0,5,0.732495,1.200256,0.998968,2.298250,2.283717,2.311204,4.537805,4.310599,4.310599,3.755527,3.938956,3.476973,1.875513,1.995259,1.997729
2025-11-08 13:36:05.022,2.526,1.272206,-0.082597,0.998473,0.000000,0,5,0.732495,1.115483,0.998968,1.823200,2.234352,2.166503,4.537805,4.310599,4.310599,3.755527,3.744391,3.476973,1.875513,1.996096,1.997729
2025-11-08 13:36:05.045,2.549,1.254393,-0.092671,1.047397,0.070407,0,5,0.829565,1.095655,1.069375,1.864902,2.207408,2.171697,4.537805,4.310599,4.310599,4.180209,3.903510,4.114407,1.982791,2.116858,2.387408
2025-11-08 13:36:05.072,2.576,1.247944,-0.112809,0.991862,0.000000,0,5,0.829565,1.084279,1.069375,2.651149,2.315604,2.457340,4.537805,4.310599,4.310599,4.180209,3.994808,4.114407,1.982791,2.222633,2.387408
2025-11-08 13:36:05.116,2.620,1.154207,-0.040519,1.152064,0.069942,0,5,0.938157,1.069378,1.049932,2.668075,2.346750,2.387397,4.537805,4.310599,4.310599,3.429752,3.601307,3.087757,1.790168,2.126016,1.992622
2025-11-08 13:36:05.141,2.645,1.066885,0.033466,1.417733,0.000000,0,5,0.938157,1.060937,1.049932,2.208522,2.187166,1.979147,4.537805,4.310599,4.310599,3.429752,3.378365,3.087757,1.790168,2.068700,1.992622
2025-11-08 13:36:05.173,2.677,1.032195,0.073419,1.606291,0.082440,0,5,0.988119,1.149739,1.265449,2.251653,2.115704,2.022589,4.537805,4.310599,4.310599,3.775309,3.427472,3.491460,1.653830,2.071453,2.075062
2025-11-08 13:36:05.220,2.723,0.973459,0.117645,1.715410,0.224683,0,5,0.528465,1.100156,1.035556,2.575899,2.259642,2.447171,4.537805,4.310599,4.310599,3.580353,3.360276,3.272729,2.165092,2.170483,2.299745
2025-11-08 13:36:05.348,2.852,0.912611,0.156012,1.782012,0.000000,0,5,0.528465,1.072103,1.035556,2.603634,2.338940,2.442248,4.562174,4.317445,4.356433,3.580353,3.322258,3.272729,2.165092,2.226597,2.299745
2025-11-08 13:36:05.599,3.102,0.920856,0.159432,1.631392,0.100104,0,5,1.038286,1.019854,0.980354,2.730579,2.427182,2.542144,4.196834,4.221194,3.969967,3.944569,3.546178,3.837898,1.983188,2.301824,2.399849
2025-11-08 13:36:05.859,3.363,0.896667,0.215724,1.562909,0.000000,0,5,1.038286,1.005205,0.980354,2.730579,2.477105,2.542144,4.196834,4.125977,3.969967,3.423837,3.342060,3.076140,1.983188,2.344391,2.399849
