a1_m,a1_peak,a1_pwr,a1_fp_idx,a1_acc,a1_xo,a2_m,a2_peak,a2_pwr,a2_fp_idx,a2_acc,a2_xo,a3_m,a3_peak,a3_pwr,a3_fp_idx,a3_acc,a3_xo,a4_m,a4_peak,a4_pwr,a4_fp_idx,a4_acc,a4_xo,a5_m,a5_peak,a5_pwr,a5_fp_idx,a5_acc,a5_xo
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.3563788678784845,1556097328,10,47392,49,8149,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.5808677452789532,1558193392,10,47495,49,8104,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.309461244848888,1556096435,10,47372,49,8124,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.309461244848888,1556096435,10,47372,49,8124,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.130765317369746,1551901603,9,47300,49,8124,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.8217205831704797,1547705501,7,47170,49,8126,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.8217205831704797,1547705501,7,47170,49,8126,,0,0,,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.520590548482073,1564482876,8,47462,49,8114,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.520590548482073,1564482876,8,47462,49,8114,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.8017304037934485,1553996121,5,47158,49,8189,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.8199881234414024,1553996960,7,47163,49,8138,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.2671331428889387,1553998208,9,47355,49,8115,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.1364757174539153,1553998269,10,47308,49,8171,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.517019649831147,1558194025,10,47465,49,8122,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.3496479500504375,1556097375,10,47386,49,8170,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.5805629275408175,1558194546,10,47490,49,8126,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.265398819890902,1553999175,10,47356,49,8158,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.425939261098886,1556097681,11,47422,49,8135,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.065998927441053,1551903545,12,47271,49,8083,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.7736392973593214,1562388576,11,47573,49,8146,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.5978001371659407,1558193050,10,47497,49,8152,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.0403987135438646,1551903193,11,47258,49,8170,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.7822495522851722,1547709257,11,47149,49,8099,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.7822495522851722,1547709257,11,47149,49,8099,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.9354456262440511,1549806423,11,47215,49,8130,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.432160863175904,1556096656,10,47425,49,8167,,0,0,0,0,0
,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,1.9106614490973166,1549805553,10,47202,49,8107,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.9106614490973166,1549805553,10,47202,49,8107,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.87384115292186,1549807223,10,47187,49,8182,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.6947381477687204,1547710661,12,47111,49,8142,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.6947381477687204,1547710661,12,47111,49,8142,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.6016758574014394,1560293164,12,47499,49,8081,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.2278647224885773,1554000731,9,47340,49,8156,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.48988960640016,1558196021,12,47451,49,8150,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.7184014302099637,1547709475,9,47119,49,8157,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.9768554461105319,1549806424,10,47233,49,8079,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.3056877649432943,1556098918,11,47369,49,8166,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.513450661280836,1558195904,10,47460,49,8129,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.5925398851905752,1562390613,12,47577,49,8135,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.5925398851905752,1562390613,12,47577,49,8135,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.9785897642012877,1549805866,9,47232,49,8138,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.9785897642012877,1549805866,9,47232,49,8138,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.250814216061892,1554000622,9,47347,49,8111,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.312725408493485,1556097410,8,47372,49,8109,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.393606243888612,1556097331,8,47408,49,8127,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.4358321033226,1556097644,9,47426,49,8181,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.4672468421338265,1558194583,8,47438,49,10,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.4817311015812695,1558193909,7,47440,49,8158,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.4273668632369114,1556096478,7,47421,49,8117,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.3620911600071817,1556096198,7,47389,49,8142,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.205835399674024,1553999806,7,47321,49,8141,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,2.0749753737568075,1551903205,8,47268,49,8089,,0,0,0,0,0
,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,1.8369186255899177,1547707402,7,47170,49,8099,,0,0,0,0,0
