a1_m,a1_peak,a1_pwr,a1_fp_idx,a1_acc,a1_xo,a2_m,a2_peak,a2_pwr,a2_fp_idx,a2_acc,a2_xo,a3_m,a3_peak,a3_pwr,a3_fp_idx,a3_acc,a3_xo,a4_m,a4_peak,a4_pwr,a4_fp_idx,a4_acc,a4_xo,a5_m,a5_peak,a5_pwr,a5_fp_idx,a5_acc,a5_xo
0,0,0,0,0,0,0,0,0,0,0,0,0.9775226111778312,1551905179,12,47246,49,10,0.8725694830569294,1549807612,13,47204,49,8159,1.2945179142981766,1556097504,11,47407,49,8188
0,0,0,0,0,0,0,0,0,0,0,0,0.4195076129089461,1560290748,7,47525,49,58,0.8725694830569294,1549807612,13,47204,49,8159,0.548629700631841,1545611175,12,47088,49,14
0,0,0,0,0,0,0,0,0,0,0,0,0.3290387090450774,1558194497,9,47484,49,14,1.1126655191641739,1553998749,6,47306,49,43,0.5539330441511927,1545611719,10,47092,49,23
0,0,0,0,0,0,0,0,0,0,0,0,0.7851602566479076,1549806120,9,47164,49,14,0.24224106399029446,1558192800,9,47448,49,31,1.3244028122287252,1556097806,10,47418,49,2
0,0,0,0,0,0,0,0,0,0,0,0,0.7822027936682351,1547709844,11,47160,49,101,0.6473647791446616,1547707354,7,47108,49,14,0.28731850908666345,1558194160,10,47490,49,7
0,0,0,0,0,0,0,0,0,0,0,0,0.39298910250371333,1560292158,10,47512,49,26,0.6473647791446616,1547707354,7,47108,49,14,0.9068358280741781,1551901352,6,47240,49,0
0,0,0,0,0,0,0,0,0,0,0,0,0.9915979046457115,1551903390,9,47251,49,47,1.2292458310099557,1554001011,10,47355,49,8172,0.6592932689841402,1547709255,10,47139,49,1
0,0,0,0,0,0,0,0,0,0,0,0,0.13392336093018256,1556098240,11,47396,49,34,0.7617014336907627,1547708733,9,47155,49,45,1.1869122098489966,1556094891,5,47366,49,8174
0,0,0,0,0,0,0,0,0,0,0,0,1.0005743192370755,1551903021,8,47251,49,53,0.7617014336907627,1547708733,9,47155,49,45,0.7164104703385151,1547709902,11,47163,49,8110
0,0,0,0,0,0,0,0,0,0,0,0,0.541290860263536,1562389164,8,47570,49,79,0.37830223834508575,1560290201,6,47506,49,15,0.6251255375597143,1547709512,10,47122,49,8178
0,0,0,0,0,0,0,0,0,0,0,0,0.24203659868468233,1558193243,6,47448,49,5,0.37830223834508575,1560290201,6,47506,49,15,0.18950527487901261,1558192074,5,47449,49,8150
0,0,0,0,0,0,0,0,0,0,0,0,0.3112921531048568,1558197093,14,47473,49,8130,0.9772159192782418,1551904372,11,47250,49,11,0.9339659083219278,1551904413,11,47254,49,7
0,0,0,0,0,0,0,0,0,0,0,0,1.2439326952757925,1556098789,12,47361,49,38,0.9772159192782418,1551904372,11,47250,49,11,0.549139051740543,1545611776,9,47091,49,8163
0,0,0,0,0,0,0,0,0,0,0,0,0.6442046388681097,1562388979,8,47609,49,7,0.7387519615889575,1547708016,6,47148,49,31,0.22918079866176966,1558195069,9,47468,49,33
0,0,0,0,0,0,0,0,0,0,0,0,0.2245949206335362,1558196646,12,47443,49,46,0.469484945291605,1560290078,6,47548,49,64,0.3209768943647824,1560292422,10,47504,49,11
0,0,0,0,0,0,0,0,0,0,0,0,1.1968124075519075,1554000300,7,47335,49,8170,0.469484945291605,1560290078,6,47548,49,64,1.19282895386922,1556098058,10,47364,49,8123
0,0,0,0,0,0,0,0,0,0,0,0,0.7763883060552853,1549807303,12,47161,49,23,0.2393858391257916,1558193130,6,47444,49,20,1.2964548507307836,1556098336,10,47412,49,43
0,0,0,0,0,0,0,0,0,0,0,0,0.5502672889969861,1562389226,8,47570,49,7,0.2393858391257916,1558193130,6,47444,49,20,0.9916946840058216,1551904243,11,47279,49,8169
0,0,0,0,0,0,0,0,0,0,0,0,0.16656125285795703,1556099879,13,47412,49,10,1.208744461837492,1554001964,12,47348,49,73,1.1373438276214416,1553998285,5,47339,49,8184
0,0,0,0,0,0,0,0,0,0,0,0,1.1300049638463474,1554001626,11,47309,49,8187,1.208744461837492,1554001964,12,47348,49,73,0.8354388696862699,1549807224,10,47211,49,8166
